Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1996,761228.252,761228.252,761228.252,761228.252,760560.298,751814.591,646583.318,527164.273,481048.714,678259.237,761145.333,761228.252,701059.752
1997,761228.252,761228.252,761228.252,761228.252,759764.369,740996.297,686058.148,559319.418,566688.884,696517.431,761207.402,761228.252,714724.4341
1998,761228.252,761228.252,761228.252,760520.455,734533.06,689704.856,630451.705,454404.601,250308.773,511022.484,731303.258,761228.252,650596.85
1999,761228.252,761228.252,761228.252,761228.252,757725.515,728746.407,656709.112,460169.315,338935.428,625325.626,760809.172,761228.252,677880.1529
2000,761228.252,761228.252,761228.252,761228.252,761228.252,739620.703,710109.827,490055.398,368640.081,683029.677,761228.252,761228.252,693337.7875
2001,761228.252,761228.252,761228.252,761228.252,760197.736,724081.848,685555.253,551953.293,451647.82,618050.4,761228.252,761228.252,696571.3218
2002,761228.252,761228.252,761228.252,761228.252,760980.793,751983.221,737778.201,581460.857,450398.385,673310.807,761228.252,761228.252,710273.4813
2003,761228.252,761228.252,761228.252,761228.252,761085.04,732681.29,692302.155,590593.639,535384.074,621734.486,755784.232,761207.803,707973.8106
2004,761208.158,761228.252,761187.988,761228.252,760984.846,744873.131,705389.178,594167.037,557548.929,694187.166,761185.264,761186.989,718697.9325
2005,761104.591,761228.252,761208.032,761100.475,757175.387,726821.98,696831.421,572990.951,466821.302,668918.675,761185.722,761228.252,704717.92
2006,761086.572,760931.578,761106.044,761164.897,757882.992,726926.353,651025.913,453766.439,340857.498,476120.262,754821.578,761228.252,663909.8648
2007,761228.252,761228.252,761228.252,761207.189,757326.629,726934.981,650028.456,355850.95,263450.526,540774.146,761186.473,761228.252,655139.3632
2008,761228.252,761228.252,761228.252,761228.252,746436.834,713697.99,667162.651,415285.803,319969.353,577949.021,757067.2,761228.252,666975.8427
2009,761228.252,761228.252,761228.252,761228.252,760712.584,740454.122,687625.898,564255.693,431141.493,637218.092,761228.252,761228.252,699064.7828
2010,761228.252,761228.252,761228.252,758001.603,750333.844,688071.445,627914.288,390437.374,289245.173,562968.99,743702.857,761228.252,654632.3818
2011,761228.252,761228.252,761228.252,761228.252,759343.855,748511.803,650407.47,318090.945,223794.201,517303.186,761228.252,761228.252,648735.081
2012,761228.252,761228.252,761228.252,761228.252,760815.949,753949.395,656913.823,310159.984,199674.57,462432.533,740906.998,761228.252,640916.2093
2013,761228.252,761228.252,761228.252,761228.252,757866.134,746568.418,689672.517,498895.084,435408.241,617574.162,745876.879,761228.252,691500.2246
2014,761228.252,761228.252,761228.252,761228.252,754093.955,702601.389,650455.052,579583.472,485180.274,668151.11,758359.655,761228.252,700380.5139
2015,761228.252,761228.252,761228.252,761228.252,752117.576,730056.339,660846.683,436738.673,283077.982,584188.474,761228.252,761228.252,667866.2699
2016,761228.252,761228.252,761228.252,761165.494,752445.785,730410.237,637446.756,373530.876,378344.039,559209.831,757106.794,761228.252,666214.4017
2017,761228.252,761228.252,761228.252,761228.252,756434.558,746787.738,627747.015,477185.228,426965.088,622861.223,751999.308,761228.252,684676.7848
2018,761228.252,761228.252,761228.252,761228.252,760486.402,732703.777,672596.978,555838.414,521208.021,700364.271,759978.386,761228.252,709109.7924
2019,761228.252,761228.252,761228.252,761228.252,745674.49,712888.265,657971.952,446508.622,381131.674,534556.138,736746.202,761228.252,668468.2169
2020,761228.252,761228.252,761228.252,761228.252,759515.993,727816.29,643315.136,467357.023,407187.504,552070.458,761228.252,761228.252,677052.6597
2021,761228.252,761228.252,761228.252,761228.252,760019.921,728313.355,651273.679,528504.769,466495.159,461959.154,713861.337,761228.252,676380.7195
2022,761228.252,761228.252,761228.252,761228.252,760856.957,760972.495,707406.035,409551.239,279049.897,522244.127,761228.252,761228.252,667287.5218
2023,761228.252,761228.252,761228.252,761228.252,756259.778,721712.422,594359.065,321860.594,227833.565,344543.122,717279.942,761228.252,624165.8123
