Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1999,881841.208,967374.538,937685.697,1028268.408,989287.564,687128.409,232496.836,98603.219,81958.89,174367.669,330594.235,503399.232,576083.8254
2000,639043.178,709633.199,724029.247,750410.397,563173.334,356500.063,158362.572,9379.746,5256.609,39467.619,184354.351,426705.017,380526.2777
2001,568452.202,721777.419,901532.624,895290.621,661321.45,376983.791,69245.349,15997.747,2493.077,41427.859,354509.163,455609.081,422053.3653
2002,682975.2,823859.318,853403.702,767117.382,704349.584,451147.346,102279.625,36793.901,32633.577,205707.462,482335.6,665094.306,483974.7503
2003,920670.932,933846.743,987205.622,947376.722,851911.266,672830.291,323383.097,109204.219,101603.911,202196.352,426018.259,671892.286,595678.3083
2004,854114.046,902649.114,882021.58,830934.535,625290.761,418924.664,191961.439,26170.079,7548.921,81018.114,353862.647,466642.547,470094.8706
2005,514647.525,520832.44,768600.229,799969.298,669512.748,334044.111,86487.076,6656.17,3412.599,107528.012,301938.031,336911.252,370878.2909
2006,368151.707,554752.475,714923.451,591453.655,253388.118,136757.69,32009.793,6201.253,5472.25,148305.39,180516.809,264656.925,271382.4597
2007,393594.233,633089.251,552625.027,501363.935,381482.52,272457.255,64386.091,20824.626,2606.194,35850.654,121206.668,284837.643,272027.0081
2008,372748.525,437072.792,571360.98,587267.939,470347.609,327608.142,115937.396,42031.474,31058.298,107837.074,308402.014,408161.99,314986.1861
2009,570815.983,626771.703,679328.634,758164.973,609051.912,281627.941,74406.323,45027.939,23204.726,42048.941,93222.729,340685.627,345363.1193
2010,572469.431,667174.61,842659.096,856875.1,418901.843,165720.592,33864.256,4350.474,9858.423,27022.044,238730.394,546709.69,365361.3294
2011,685116.705,777799.843,698124.244,687635.24,537779.726,261491.651,69821.683,11567.913,2039.894,30859.342,147293.644,278262.719,348982.717
2012,350425.982,391925.125,495512.933,530683.477,263566.949,94704.508,7637.677,3665.127,1356.188,21396.928,56450.46,248735.373,205505.0606
2013,376070.241,521552.847,750382.586,709935.955,397863.634,145577.752,6220.516,4156.525,1496.554,30570.479,84422.264,339634.74,280657.0078
2014,506248.657,484365.841,549865.6,618561.772,461965.178,209027.101,72409.758,99982.801,98312.251,183783.207,403570.105,458475.037,345547.2757
2015,618765.097,722460.447,560507.722,426644.459,359569.01,224213.875,90534.637,13180.115,1742.431,25408.97,64105.81,188477.12,274634.1411
2016,385483.351,379798.936,401870.542,373173.126,188528.719,67218.37,6348.148,4946.548,1624.47,19135.744,43942.011,156881.609,169079.2978
2017,294670.077,445048.537,545936.511,547939.236,483275.819,227461.896,75784.785,21670.393,1269.073,38779.41,113114.077,198233.788,249431.9668
2018,320822.22,462342.659,662322.479,730655.843,460286.928,167633.361,29531.587,4807.076,1979.706,19418.387,89673.005,171032.546,260042.1498
2019,415345.838,589969.646,732489.669,581307.014,440856.132,265975.112,112300.019,44787.893,14909.156,54595.378,242829.93,406860.687,325185.5395
2020,605897.837,654073.79,701143.91,657891.34,432215.421,201834.787,55041.511,5387.468,1576.813,21681.895,37772.681,239568.531,301173.832
2021,427703.33,753043.012,764554.603,563799.961,444109.886,189669.492,63664.521,5984.539,1192.062,25987.74,227374.13,498316.637,330449.9928
2022,666292.874,673348.837,635756.948,673503.693,550922.786,116554.569,12012.356,5446.433,2183.701,31883.576,98802.296,224779.107,307623.9313
2023,287476.263,376683.928,571055.966,581039.946,376525.53,124025.343,53107.426,11242.827,3272.024,35079.225,197016.732,343340.669,246655.4899
