Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1997,917804.784,917900.221,915627.706,917992.88,890441.485,807644.995,488105.69,222069.726,149072.885,342363.563,854117.409,917871.251,695084.3829
1998,917992.88,917992.88,917992.88,917992.88,917910.53,905742.554,767325.471,496551.616,397194.525,809503.37,917992.88,917992.88,816848.7788
1999,917992.88,917992.88,917992.88,917950.758,915339.204,917087.269,895635.769,553292.313,226099.213,699214.797,906876.267,911992.082,808122.1927
2000,917741.834,914994.647,916297.217,917992.88,917951.752,899176.733,566600.301,257120.069,169836.084,437303.569,803029.327,908447.991,718874.367
2001,910933.514,916628.363,917909.128,917992.88,913730.42,838203.484,569705.889,264596.818,160135.266,363596.748,810319.269,834479.139,701519.2432
2002,917783.707,917969.711,917992.88,917992.88,917401.39,906435.954,723344.087,304576.172,282000.947,646168.898,850381.624,917972.664,768335.0762
2003,917992.88,917992.88,917992.88,917992.88,915817.366,910446.807,793215.186,526738.641,432390.192,552058.956,847589.56,906150.985,796364.9344
2004,917992.88,917992.88,917992.88,917971.153,917951.251,857289.162,523192.797,271528.231,211940.927,505653.682,829088.602,903500.41,724341.2379
2005,908788.576,895201.622,917952.222,917950.627,917765.843,835511.702,478472.578,144717.858,62802.731,311398.297,734651.082,836293.429,663458.8806
2006,897329.6,913268.573,917617.442,915116.334,910670.113,825236.117,376126.998,180468.076,207443.882,494955.529,840583.552,908780.704,698966.41
2007,908897.769,917946.44,906182.163,898260.662,914943.081,848495.389,457832.767,203974.106,71038.909,198882.767,720069.921,843627.627,657512.6334
2008,867936.32,887884.96,916821.515,917820.11,914440.905,815356.84,497868.61,177164.238,70312.839,300554.955,695059.664,833354.433,657881.2824
2009,891592.722,915847.373,917174.893,917992.88,917972.047,893840.276,462727.394,164524.328,71597.95,110489.805,577927.115,891861.015,644462.3165
2010,892630.142,915830.693,916796.089,917820.009,913304.579,807559.87,391004.366,76506.539,65830.592,281468.301,719938.807,899238.512,649827.3749
2011,917971.93,916723.51,905322.648,915757.844,879083.53,597761.515,254879.964,100599.779,59804.868,160677.918,615063.245,672212.717,582988.289
2012,851576.985,738533.059,885667.481,894343.009,862779.515,495695.31,159679.226,64096.8,59001.417,99020.173,359100.823,668492.289,511498.8406
2013,886340.562,911273.506,917951.051,917452.327,914074.247,837833.673,403420.169,168473.259,112290.954,350652.122,722372.451,876748.161,668240.2068
2014,915921.289,906951.94,902908.608,917971.288,912454.561,897134.982,544919.328,192468.071,91241.646,436573.584,836504.455,905151.558,705016.7758
2015,917992.88,917992.88,917168.735,913151.845,885077.016,619529.309,283668.977,84774.193,63036.28,223346.693,642695.335,810744.301,606598.2037
2016,860539.098,877942.384,898448.265,898471.117,881691.756,606241.47,192282.52,82849.503,58779.905,73126.126,273297.68,692493.094,533013.5765
2017,817982.702,901896.746,879865.341,915042.918,907791.002,739955.715,381400.247,127260.244,77581.557,268828.363,674868.139,865554.146,629835.5933
2018,876444.548,894331.99,917344.17,917992.88,917992.88,860674.051,379867.375,62684.96,59393.62,94291.404,654872.939,768358.189,617020.7505
2019,882436.117,916279.09,917078.937,910789.74,893583.864,763496.585,282691.615,71897.386,60592.38,131973.043,753595.099,909176.475,624465.8609
2020,917006.278,906368.363,917403.622,910653.838,822319.125,557314.102,197129.525,75730.217,59608.479,88785.283,396883.4,662542.207,542645.3699
2021,871431.414,917876.96,917992.88,912733.06,910536.463,760170.733,383812.645,201024.515,121904.059,283554.493,702176.823,893690.08,656408.6771
2022,910117.941,889204.715,905311.611,917930.089,912089.899,743951.228,307180.895,104402.284,73177.67,127085.61,650570.95,789062.385,610840.4398
2023,897053.619,904024.315,911832.551,917992.88,894286.938,728642.743,437024.646,202260.789,98103.856,260413.272,694765.836,864944.861,650945.5255
